topic,topic_name,topic_words,original_index,Title,Document Type,Year,topic_text_preview
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,8,Conceptualizing AI literacies for children and youth: A systematic review on the design of AI literacy educational programs,Review,2025.0,"Conceptualizing AI literacies for children and youth: A systematic review on the design of AI literacy educational programs. The growing presence of Artificial Intelligence (AI) in society increases the exposure of children and youth to these technologies. In response, recent research introduced educational programs that foster AI knowledge and competencies, collectively comprising AI literacy. This study presents a systematic review of 23 articles published up to 2023 describing AI literacy programs for children and youth. We examined: (1) motivations for teaching AI literacy, (2) conceptualizations of AI literacy that informed program design, and (3) learning theories and pedagogical methods employed. The analysis identified five motivational themes: workforce, informed users, purposeful creators, advocacy, and social good. Seventeen AI literacy frameworks and conceptual models were identified and grouped into four themes: competency-based, computational, sociotechnical, and practice"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,30,AI literacy and gender equity in elementary education: A quasi-experimental study of a STEAM–PBL–AIoT course with questionnaire validation,Article,2025.0,"AI literacy and gender equity in elementary education: A quasi-experimental study of a STEAM–PBL–AIoT course with questionnaire validation. Background: UNESCO reports that around 70 countries have adopted AI-related strategies, recognizing AI literacy as essential for preparing citizens in an AI-driven world. Yet, two key challenges remain: limited AI literacy development at the foundational level and persistent gender gaps in AI fields. Without early, inclusive education, students—especially girls facing STEM-related barriers—may lack the skills and confidence to engage with AI. These challenges are interconnected: focusing on AI literacy without gender equity may reinforce gaps, while promoting inclusion without strong AI foundations may limit impact. This study revised an AI literacy questionnaire for fifth-grade students, covering affective, behavioral, cognitive, and ethical dimensions, and examined whether gender disparities exist and whether AI and AI literacy courses can help r"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,31,Objective measurement of AI literacy: Development and validation of the AI competency objective scale (AICOS),Article,2025.0,"Objective measurement of AI literacy: Development and validation of the AI competency objective scale (AICOS). As Artificial Intelligence (AI) becomes increasingly pervasive in everyday life, AI literacy is widely recognized as a set of essential competencies for navigating AI-driven environments safely, responsibly, and effectively. There is a growing need to assess this construct, for example, to inform targeted educational interventions. Although several measurement tools already exist, many show limitations regarding subjective data collection methods, differentiation between target groups, validity, and the integration of recent developments, such as Generative AI literacy. To address these limitations, this study introduces the AI Competency Objective Scale (AICOS) - an instrument grounded in a competency-oriented framework that enables a more objective assessment of AI literacy sub-competencies. AICOS draws on established theoretical models, integrates validated items from prior"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,45,Rethinking artificial-intelligence literacy through the lens of teacher educators: The adaptive AI model,Article,2025.0,"Rethinking artificial-intelligence literacy through the lens of teacher educators: The adaptive AI model. As artificial intelligence becomes increasingly integrated into educational settings, models for measuring related literacy among both teachers and students are rapidly emerging. Yet despite their strengths and benefits, many impose fixed competency levels or overlook contextual factors. Using design-based research, and with the participation of 22 higher-education teacher educators, this study critiques existing models and introduces the novel Adaptive Artificial-Intelligence-Literacy Model (AALM), grounded in case-study analysis. This evaluation framework highlights the dynamic, multi-dimensional nature of artificial-intelligence literacy, organized around three inter-related core axes: contextual fitness, professional needs, and dynamic development. A reflective self-assessment tool is also presented, enabling teachers to evaluate their own artificial-intelligence literacy. This"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,60,K-12 teachers’ ethical competencies for AI literacy: Insights from a systematic literature review,Article,2025.0,"K-12 teachers’ ethical competencies for AI literacy: Insights from a systematic literature review. Artificial Intelligence (AI) technology is now an integral part of our daily life and society. AI offers numerous affordances with potential positive and negative impact on society. K-12 educators are responsible to prepare the future generations to harness the benefits of AI ethically, responsibly, safely, and critically. Teachers need sound knowledge, skills, and dispositions to implement ethics-driven AI literacy education. To achieve this goal, there is a pressing need to identify and operationalize the competencies that teachers need to foster AI literacy. We conducted a larger systematic literature review (SLR), which reviewed empirical studies focused on AI literacy published in the last ten years (2014–2024) to explore and consolidate all competencies for K-12 teachers. This paper reports on teachers’ ethical competencies identified from this SLR. The review of 76 papers included "
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,61,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,Article,2025.0,"Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students. The rapid integration of artificial intelligence across industries necessitates systematic AI literacy development in higher vocational education to prepare students for AI-driven professional environments. This study develops and validates a comprehensive competency-based ladder development pathway specifically designed to enhance AI literacy among vocational students. The research employs a mixed-methods approach combining theoretical framework construction, empirical investigation, and practical implementation validation. The three-tier pathway model integrates foundational cognitive, skills application, and comprehensive innovation layers to address diverse learning needs while maintaining progression standards. Through empirical investigation involving 2850 students across 15 institutions, the study identifies distinct learner profiles and competency defici"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,97,Navigating the landscape of AI literacy education: insights from a decade of research (2014–2024),Review,2025.0,"Navigating the landscape of AI literacy education: insights from a decade of research (2014–2024). As artificial intelligence (AI) becomes increasingly integrated into various fields, the need to enhance learners’ AI literacy is more urgent than ever. Despite its growing importance, a comprehensive review of AI literacy education research has been lacking. This study addresses that gap by mapping the current landscape, tracing its evolution, and identifying key themes through a bibliometric analysis of research from 2014 to 2024, utilizing CiteSpace for data visualization and analysis. This study systematically selected 335 relevant articles from databases, including Web of Science Core Collection, Scopus, and Science Direct, following PRISMA guidelines. Our methodology involved keyword co-occurrence mapping to trace the development paths and thematic evolution within the field. By examining publication trends and thematic clusters, we provide insights into the progression and focal po"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,100,A Comprehensive Study: AI Literacy as a Component of Media Literacy,Article,2025.0,"A Comprehensive Study: AI Literacy as a Component of Media Literacy. The widespread use of AI-based technologies has sparked educational, social, and political interest in AI training. Education systems must prepare individuals for a world with AI. AI literacy is a cognitive and pedagogical difficulty. AI's language and intricacies need redefining literacy. Because these systems are easy to use, more individuals are utilizing them than those with limited conceptualizations (such as an inability to grasp the future relevance of these systems) or competencies (like an inability to comprehend how these systems function). The study investigates the increasing significance of artificial intelligence (AI) literacy within the context of media literacy. As AI technologies permeate various aspects of modern media, the capacity to comprehend and engage critically with these systems has become essential. The paper begins by analyzing the intricate intersection of AI and media, focusing on content"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,107,Unveiling Chinese youth students’ AI adoption goals and experiences: An achievement goal theory (AGT) perspective,Article,2025.0,"Unveiling Chinese youth students’ AI adoption goals and experiences: An achievement goal theory (AGT) perspective. Different studies have been done on various tools and technologies powered by artificial intelligence (AI) in recent years. However, the role of age groups in using and perceiving AI tools has been ignored in academic contexts. To fill the gap, this qualitative research aimed to explore Chinese youth students’ perceived AI adoption goals and experiences. A semi-structured interview was conducted with 58 general education students. The results of thematic analysis showed different AI adoption goals and experiences. The students had employed AI tools for ‘deep learning and understanding’, ‘personal growth and skill development’, ‘discovery of novel ideas and solutions’, ‘others’ outperformance and surpassing’, and ‘praise and recognition attainment’. Regarding experiences, the participants referred to four themes, namely ‘the emotional impact of AI on learners’, ‘providing a"
0,0_understanding_future_educators_ethical,understanding; future; educators; ethical; competencies; 12; children; curriculum; assessment; school,112,Opening the ‘Can of Worms’: A Comparative Case Study of Two ELA Teachers' Formation of AI Literacy Instruction,Article,2025.0,"Opening the ‘Can of Worms’: A Comparative Case Study of Two ELA Teachers' Formation of AI Literacy Instruction. Educators hold diverse beliefs and attitudes about generative artificial intelligence (AI). Irrespective of their stance, many acknowledge AI's growing influence and the pressing need for greater AI literacy. In this case study, we draw on Davis's (1989) technology acceptance model (TAM) to examine how two English teachers, Fiona and Margot, arrived at different enactments of AI literacy. Using qualitative methods, we found that Fiona was primarily concerned with cheating, held negative attitudes toward AI, and taught a standalone lesson on preventing cheating. Margot identified a range of AI risks and possibilities, held conflicted attitudes, and developed a unit on the societal impacts of AI. Our findings suggest that educators and professional learning designers should take concerns about cheating seriously, but also adopt a broader, dialectical orientation that prepares s"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,2,Cypriot teachers’ digital skills and attitudes towards AI,Article,2025.0,"Cypriot teachers’ digital skills and attitudes towards AI. Artificial Intelligence (AI) is now everywhere, including in the classroom. Thus, it is crucial for teachers not only to be able to use AI, but also to understand it, as they bear the responsibility of teaching the next generation with and about AI. Although there have been extensive discussions about the importance of digital skills and knowledge of AI, limited research has focused on the attitudes, digital skills, and AI literacy levels of teachers, within small populations where English is not the native language, such as Cyprus. Our study addresses this gap by adapting the General Attitudes Towards AI Scale (GAAIS) and the AI Literacy Scale (AILS) into the Greek language, and investigating the digital skills, attitudes towards AI, AI literacy, and intentions to teach and use AI among teachers in Cyprus. The Greek versions of GAAIS and AILS have been validated, demonstrating good validity and reliability. Our findings also i"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,5,What makes university students accept generative artificial intelligence? A moderated mediation model,Article,2025.0,"What makes university students accept generative artificial intelligence? A moderated mediation model. Artificial Intelligence (AI) technology developments are increasing the importance of accepting and utilizing generative AI. Higher Education is one of the most common areas where AI tools are used. University students use AI tools such as ChatGPT for various purposes (e.g., homework and projects). However, there is limited research on the factors affecting university students' acceptance of AI. AI-related technology and literacy skills are effective in promoting the acceptance of new technologies. Additionally, attitude towards AI and AI self-efficacy can promote the acceptance of AI. Within this context, this study tested a hypothetical model to examine the relationships among university students' attitude towards AI, AI literacy, AI self-efficacy, AI learning anxiety, and AI acceptance. Data were collected from 356 participants (265 females) with a mean of 22.71 (SD = ± 3.72). Medi"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,9,"How AI literacy correlates with affective, behavioral, cognitive and contextual variables: A systematic review",Review,2025.0,"How AI literacy correlates with affective, behavioral, cognitive and contextual variables: A systematic review. This systematic review maps the empirical landscape of AI literacy by examining its correlations with a diverse array of affective, behavioral, cognitive and contextual variables. Building on the review of AI literacy scales by Lintner (2024), we analyzed 31 empirical studies that applied six of those AI literacy scales, covering 14 countries and a range of participant groups. Our findings reveal robust correlations of AI literacy with AI self-efficacy, positive AI attitudes, motivation, and digital competencies, and negative correlations with AI anxiety and negative AI attitudes. Personal factors such as age appear largely uncorrelated with AI literacy. The review reveals measurement challenges regarding AI literacy: discrepancies between self-assessment scales and performance-based tests suggest that metacognitive biases like the Dunning Kruger effect may inflate certain co"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,11,Integrating AI literacy into the TAM-TPB model to explain students’ intention to use educational AI through MASEM approach,Article,2025.0,"Integrating AI literacy into the TAM-TPB model to explain students’ intention to use educational AI through MASEM approach. The Technology Acceptance Model (TAM), the Theory of Planned Behaviour (TPB), and AI Literacy (AIL) are widely used to study students' behavioural intention (INT) to adopt educational AI (EAI). However, existing evidence on their interrelationships remains inconsistent and often contradictory. To address this, we applied meta-analytic structural equation modelling to integrate TAM, TPB, and AIL into a unified framework, synthesizing data from 166 studies across 21 paths. The AIL-integrated model achieved the best fit and strongest explanatory power, with AIL emerging as the most influential predictor of INT (_ = 0.408), followed by perceived usefulness (PU, _ = 0.330). Mediation analysis confirmed that AIL influenced INT through PU, PEU, and attitude. Notably, PEU had a weak effect on attitude (_ = 0.086), indicating its limited role in shaping students' perceptio"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,15,"Influence of perceived ethics, prejudice, and teacher concerns on artificial intelligence literacy and implementation: A cross-sectional study using path analysis",Article,2025.0,"Influence of perceived ethics, prejudice, and teacher concerns on artificial intelligence literacy and implementation: A cross-sectional study using path analysis. This study examines the influence of perceived ethics, bias, and teacher concerns on artificial intelligence (AI) literacy and implementation in Peruvian universities. Using a quantitative correlational approach, data were collected from 422 university professors across eight institutions in northern Peru. The research employed structural equation modeling (PLS-SEM) to test a hypothetical model comprising five constructs: perceived ethics, bias in AI, teacher concerns, AI literacy, and AI implementation. The results revealed two significant relationships: AI literacy strongly influences AI implementation, and bias in AI significantly affects AI literacy. In contrast to expectations, perceived ethics and teacher concerns had no significant influence on AI literacy. Additionally, demographic variables (age and gender) had no m"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,19,The scale of artificial intelligence literacy for all (SAIL4ALL): assessing knowledge of artificial intelligence in all adult populations,Article,2025.0,"The scale of artificial intelligence literacy for all (SAIL4ALL): assessing knowledge of artificial intelligence in all adult populations. This study presents a new artificial intelligence (AI) literacy scale for comprehensive assessment of the concept across adult populations, regardless of the setting in which it is applied: the SAIL4ALL. The scale contains 56 items distributed across four different themes [(1) What is AI? (a: Recognizing AI, Understanding Intelligence and Interdisciplinarity; b: General vs. Narrow AI); (2) What can AI do?; (3) How does AI work?; and (4) How should AI be used?] and has two different response formats (true/false and 5-point Likert scale), each of which can be applied depending on the context. The study provides quantitative evidence of psychometric quality in three different UK samples. It also presents evidence of internal structure validity through confirmatory factor analysis and adequate internal consistency for most of the scales and formats. Mor"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,23,Special Education Pre-Service Teachers' Conscientiousness and Their Attitudes Towards Artificial Intelligence: The Mediating Role of AI Literacy and AI Anxiety,Article,2025.0,"Special Education Pre-Service Teachers' Conscientiousness and Their Attitudes Towards Artificial Intelligence: The Mediating Role of AI Literacy and AI Anxiety. Complex interactions between personality traits, technology literacy, and anxiety levels influence pre-service special education teachers' attitudes towards artificial intelligence (AI). However, the mechanisms underlying these interactions have not been sufficiently investigated in the literature. This study examines the mediating roles of AI literacy and AI anxiety in the relationship between responsibility personality traits and attitudes towards AI through a sample of pre-service special education teachers in Turkey. A sample of 255 pre-service special education teachers (Mage = 22) responded anonymously to the five factor personality scale, attitude towards artificial intelligence scale, artificial intelligence anxiety scale and artificial intelligence literacy scale. The results of structural equation modelling revealed t"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,24,Exploring perceptions of Indian graduates on the effectiveness of artificial intelligence in higher education campus hiring,Article,2025.0,"Exploring perceptions of Indian graduates on the effectiveness of artificial intelligence in higher education campus hiring. Purpose: This study examines graduates’ perceptions of AI-powered recruitment tools, focusing on factors influencing their intention and engagement. The study uses TAM as a theoretical model to explore which factors impact graduates’ willingness to engage with AI-powered campus hiring tools. Design/methodology: A quantitative approach was adopted, with data collected through a structured survey of 388 graduating students. The data was analysed using SPSS, and hypotheses were tested through regression and mediation analysis. The study evaluates the direct effects of trust, usefulness, AI fairness, and technological anxiety on engagement intention and their indirect effects on actual engagement through mediation analysis. Findings: The findings indicate that trust, usefulness, and AI fairness positively influence graduates’ intention to engage with AI-powered campu"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,26,AI assisted learning and research: an exploratory study among university students and scholars,Article,2025.0,"AI assisted learning and research: an exploratory study among university students and scholars. Recent advancements in artificial intelligence (AI) technologies especially generative AI (GenAI) are promising to support the digital transformation of education system. This study investigates how university students and research scholars across Science, Social Science, and Technology disciplines utilise AI technologies for tasks such as understanding and learning, academic writing, literature searching, plagiarism detection, etc. A structured online questionnaire was administered to collect data among 500 students and scholars, achieving an 84% response rate (421 participants). The study employed chi-square test, phi test, Cramer’s V test and binary logistic regression analysis to statistically establish the association between the variables and to identify the predictors of AI adoption. The findings indicate that over 90% of respondents use AI to support their academic activities. ChatGP"
1,1_self_factors_efficacy_self efficacy,self; factors; efficacy; self efficacy; intention; perceived; technology; anxiety; scale; acceptance,32,The mediating role of self-regulation in fostering Intelligent-TPACK and ethics in physical education teacher education students,Article,2025.0,"The mediating role of self-regulation in fostering Intelligent-TPACK and ethics in physical education teacher education students. The emergence of generative artificial intelligence (AI) technologies is driving transformative changes in physical education, highlighting the critical need for pre-service teachers to develop AI-specific pedagogical knowledge and ethical awareness. This study explores the role of self-regulation in mediating the relationship between basic psychological needs (autonomy, competence, and relatedness) and digital competence, specifically Intelligent-TPACK and ethics, among Physical Education Teacher Education (PETE) students. Data were collected from 548 PETE students at six universities in Wuhan, China. Structural equation modeling (SEM) analysis demonstrated that self-regulation positively predicted both Intelligent-TPACK and ethical awareness, with self-regulation mediating the effects of basic psychological needs on these two dimensions of digital competen"
2,2_ethical_higher_integration_educators,ethical; higher; integration; educators; critical; ethics; challenges; digital; professional; academic,7,Intelligent_TPACK in practice: design and evidence from a three_week teacher preparation module,Article,2025.0,"Intelligent_TPACK in practice: design and evidence from a three_week teacher preparation module. Rapid advances in generative AI sharpen the need for teachers to develop pedagogical and ethical capacities for AI_integrated instruction. While Technological Pedagogical Content Knowledge (TPACK) provides a valuable framework for technology integration, it does not fully capture AI's unique complexities. This study presents an integrated i_TPACK approach that extends Intelligent_TPACK by adding AI_as_content (i_CK) and AI_for_professional development (i_PD) and by threading a five_stage AI_literacy progression (Know_ Use_ Evaluate_ Ethics_ Create) within each domain, treating ethics as distributed and iterative. We designed and examined a three-week professional development module for preservice teachers using a convergent mixed-methods design. Pre–post surveys (n = 25 matched pairs) with a six_subscale Integrated i_TPACK instrument showed statistically significant gains across all domains"
2,2_ethical_higher_integration_educators,ethical; higher; integration; educators; critical; ethics; challenges; digital; professional; academic,10,Understanding management educators’ perspectives on AI adoption: A qualitative study,Article,2025.0,"Understanding management educators’ perspectives on AI adoption: A qualitative study. The adoption of generative AI is reshaping higher education, particularly in the areas of teaching and learning. This study examines the perspectives of management educators' on the use of AI tools (e.g., ChatGPT), in Finnish universities of applied sciences. Based on qualitative interviews with 29 educators working in Finnish universities of applied sciences, the findings highlight ethical concerns, data privacy risks, AI benefits, and challenges in balancing automation with human-centered teaching. While educators acknowledge AI's potential to enhance learning, concerns persist regarding its academic integrity, institutional readiness, and literacy. Female and experienced educators express greater ethical apprehensions, while male and early-career educators tend to emphasize AI's efficiency. This study underscores the need for targeted AI training, institutional policies, and ethical frameworks to g"
2,2_ethical_higher_integration_educators,ethical; higher; integration; educators; critical; ethics; challenges; digital; professional; academic,14,Bibliometric analysis and predictive modeling map the role of artificial intelligence in science education from research trends to classroom integration,Article,2025.0,"Bibliometric analysis and predictive modeling map the role of artificial intelligence in science education from research trends to classroom integration. Artificial intelligence (AI) is rapidly transforming science education by enabling adaptive learning, virtual experimentation, and generative applications such as ChatGPT. Yet, research in this area remains fragmented and often descriptive. This study adopts an integrated approach, combining bibliometric analysis, meta-analysis, and predictive modeling, to map the research landscape, synthesize empirical impacts, and forecast future directions of AI in science education. The bibliometric analysis of 3217 studies (2015–2024) identified four major thematic clusters: intelligent tutoring and adaptive learning, virtual and remote laboratories, generative AI and ethics, and teacher professional development. The meta-analysis of 39 empirical studies revealed a significant overall positive effect of AI on science learning outcomes (Hedges’ g"
