Topic,Topic label,Short label,Pre-2023 %,2024-2025 %,Change (pp),Direction
3,Generative AI literacy and instructional tool integration,GenAI instructional integration,0.0,12.3,12.3,Increased
5,"ChatGPT, writing, language learning, and prompting",ChatGPT / writing / prompting,0.9,11.1,10.1,Increased
2,"Higher education integration, ethics, and professional practice",Higher-ed integration / ethics,2.8,13.0,10.1,Increased
1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",Self-efficacy / adoption,4.7,13.3,8.6,Increased
9,"Libraries, librarians, and information services",Libraries / information services,0.0,4.6,4.6,Increased
8,Healthcare and medical AI literacy,Healthcare / medical AI literacy,8.5,8.3,-0.2,Relatively stable
6,"Human decision-making, trust, and public-facing AI systems",Human decision-making / trust,10.4,9.1,-1.3,Relatively stable
7,"Children, games, creative activities, and experiential AI learning",Children / creative learning,17.9,7.8,-10.2,Decreased
0,"AI literacy competencies, educator readiness, and ethical understanding",Educator readiness / ethics,23.6,11.3,-12.3,Decreased
4,"School curriculum, machine learning, and STEM-oriented AI education",School curriculum / STEM,31.1,9.3,-21.9,Decreased
