topic,manual_topic_label,short_topic_label,pre_2023_pct_observed,post_2024_2025_pct_observed,change_pp_observed,boot_mean_change_pp,boot_se_pp,ci95_lower_pp,ci95_upper_pp,ci95_excludes_zero,direction_descriptive_band
3,Generative AI literacy and instructional tool integration,GenAI instructional integration,0.0,12.32,12.32,12.32,0.76,10.87,13.87,True,Increased
5,"ChatGPT, writing, language learning, and prompting",ChatGPT / writing / prompting,0.94,11.09,10.14,10.15,1.2,7.51,12.21,True,Increased
2,"Higher education integration, ethics, and professional practice",Higher-ed integration / ethics,2.83,12.96,10.13,10.1,1.79,6.28,13.25,True,Increased
1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",Self-efficacy / adoption,4.72,13.34,8.62,8.62,2.23,3.99,12.57,True,Increased
9,"Libraries, librarians, and information services",Libraries / information services,0.0,4.61,4.61,4.61,0.49,3.7,5.57,True,Increased
8,Healthcare and medical AI literacy,Healthcare / medical AI literacy,8.49,8.3,-0.19,-0.16,2.77,-5.85,4.96,False,Relatively stable
6,"Human decision-making, trust, and public-facing AI systems",Human decision-making / trust,10.38,9.05,-1.33,-1.37,3.07,-7.71,4.23,False,Relatively stable
7,"Children, games, creative activities, and experiential AI learning",Children / creative learning,17.92,7.77,-10.16,-10.12,3.77,-17.76,-3.07,True,Decreased
0,"AI literacy competencies, educator readiness, and ethical understanding",Educator readiness / ethics,23.58,11.3,-12.28,-12.29,4.19,-20.77,-4.36,True,Decreased
4,"School curriculum, machine learning, and STEM-oriented AI education",School curriculum / STEM,31.13,9.27,-21.87,-21.86,4.54,-30.82,-13.18,True,Decreased
