topic,topic_name,topic_words,original_index,Title,Document Type,Year,topic_text_preview
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,2,Cypriot teachers’ digital skills and attitudes towards AI,Article,2025.0,"Cypriot teachers’ digital skills and attitudes towards AI. Artificial Intelligence (AI) is now everywhere, including in the classroom. Thus, it is crucial for teachers not only to be able to use AI, but also to understand it, as they bear the responsibility of teaching the next generation with and about AI. Although there have been extensive discussions about the importance of digital skills and knowledge of AI, limited research has focused on the attitudes, digital skills, and AI literacy levels of teachers, within small populations where English is not the native language, such as Cyprus. Our study addresses this gap by adapting the General Attitudes Towards AI Scale (GAAIS) and the AI Literacy Scale (AILS) into the Greek language, and investigating the digital skills, attitudes towards AI, AI literacy, and intentions to teach and use AI among teachers in Cyprus. The Greek versions of GAAIS and AILS have been validated, demonstrating good validity and reliability. Our findings also i"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,3,Digital equity and computational thinking privilege: The case of first-year engineering and computing students' attitudes towards artificial intelligence,Article,2025.0,"Digital equity and computational thinking privilege: The case of first-year engineering and computing students' attitudes towards artificial intelligence. Attitudes can constitute barriers to engineering, computing, and artificial intelligence (AI) enculturation, contributing to and resulting from digital inequity. Building upon research on computational thinking privilege, we explored first-year students' (a) perceived future impact of AI on their career prospects and (b) backgrounds (e.g., gender, underrepresented minority (URM) status, and First-Generation status) associated with their attitudes toward AI, computational thinking, and course performance. Computational thinking was measured using our newly validated Engineering Computational Thinking Diagnostic (ECTD), while course performance was assessed based on final grades in an introductory computing course at a Southwestern institution—the first coding experience for many students. For the fall 2021 participant cohort of 163 fi"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,4,Assessing students’ DRIVE: A framework to evaluate learning through interactions with generative AI,Article,2025.0,"Assessing students’ DRIVE: A framework to evaluate learning through interactions with generative AI. As generative AI (GenAI) transforms how students learn and work, higher education must rethink its assessment strategies. This paper introduces a conceptual framework, DRIVE, and a taxonomy to help educators evaluate student learning based on their interactions with GenAI chatbots. Although existing research maps student-GenAI interactions to writing outcomes, practice-oriented tools for assessing evidence of domain-specific learning beyond general AI literacy skills or general writing skills remain underexplored. We propose that GenAI interactions can serve as a valid indicator of learning by revealing how students steer the interaction (Directive Reasoning Interaction) and articulate acquired knowledge into the dialogue with AI (Visible Expertise). We conducted a multi-methods analysis of GenAI interaction annotations ( n = 1450) from graded essays ( n = 70) in STEM writing-intensive "
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,5,What makes university students accept generative artificial intelligence? A moderated mediation model,Article,2025.0,"What makes university students accept generative artificial intelligence? A moderated mediation model. Artificial Intelligence (AI) technology developments are increasing the importance of accepting and utilizing generative AI. Higher Education is one of the most common areas where AI tools are used. University students use AI tools such as ChatGPT for various purposes (e.g., homework and projects). However, there is limited research on the factors affecting university students' acceptance of AI. AI-related technology and literacy skills are effective in promoting the acceptance of new technologies. Additionally, attitude towards AI and AI self-efficacy can promote the acceptance of AI. Within this context, this study tested a hypothetical model to examine the relationships among university students' attitude towards AI, AI literacy, AI self-efficacy, AI learning anxiety, and AI acceptance. Data were collected from 356 participants (265 females) with a mean of 22.71 (SD = ± 3.72). Medi"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,6,Enhancing writing skills through AI-powered tools: perceived benefits and challenges among Vietnamese EFL students,Article,2025.0,"Enhancing writing skills through AI-powered tools: perceived benefits and challenges among Vietnamese EFL students. Owing to the availability of the internet and the spread of AI in Vietnam, using AI tools as assistants is popular among students these days, particularly in learning English as a foreign language. This study investigates students’ perceptions of the benefits and challenges of using AI-powered tools in enhancing their writing skills in EFL classes at a university in Vietnam. Using a mixed-methods approach, the data for this study were collected from English-majored students at a university in Vietnam through a questionnaire (N = 314) and semi-structured interviews (N = 20). Quantitative data were analyzed using SPSS, while qualitative data were thematically analyzed to provide more profound insights. Findings indicate that students frequently use tools such as ChatGPT, QuillBot, and Claude for complex academic writing tasks, including essays, literature reviews, internshi"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,7,Intelligent_TPACK in practice: design and evidence from a three_week teacher preparation module,Article,2025.0,"Intelligent_TPACK in practice: design and evidence from a three_week teacher preparation module. Rapid advances in generative AI sharpen the need for teachers to develop pedagogical and ethical capacities for AI_integrated instruction. While Technological Pedagogical Content Knowledge (TPACK) provides a valuable framework for technology integration, it does not fully capture AI's unique complexities. This study presents an integrated i_TPACK approach that extends Intelligent_TPACK by adding AI_as_content (i_CK) and AI_for_professional development (i_PD) and by threading a five_stage AI_literacy progression (Know_ Use_ Evaluate_ Ethics_ Create) within each domain, treating ethics as distributed and iterative. We designed and examined a three-week professional development module for preservice teachers using a convergent mixed-methods design. Pre–post surveys (n = 25 matched pairs) with a six_subscale Integrated i_TPACK instrument showed statistically significant gains across all domains"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,8,Conceptualizing AI literacies for children and youth: A systematic review on the design of AI literacy educational programs,Review,2025.0,"Conceptualizing AI literacies for children and youth: A systematic review on the design of AI literacy educational programs. The growing presence of Artificial Intelligence (AI) in society increases the exposure of children and youth to these technologies. In response, recent research introduced educational programs that foster AI knowledge and competencies, collectively comprising AI literacy. This study presents a systematic review of 23 articles published up to 2023 describing AI literacy programs for children and youth. We examined: (1) motivations for teaching AI literacy, (2) conceptualizations of AI literacy that informed program design, and (3) learning theories and pedagogical methods employed. The analysis identified five motivational themes: workforce, informed users, purposeful creators, advocacy, and social good. Seventeen AI literacy frameworks and conceptual models were identified and grouped into four themes: competency-based, computational, sociotechnical, and practice"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,9,"How AI literacy correlates with affective, behavioral, cognitive and contextual variables: A systematic review",Review,2025.0,"How AI literacy correlates with affective, behavioral, cognitive and contextual variables: A systematic review. This systematic review maps the empirical landscape of AI literacy by examining its correlations with a diverse array of affective, behavioral, cognitive and contextual variables. Building on the review of AI literacy scales by Lintner (2024), we analyzed 31 empirical studies that applied six of those AI literacy scales, covering 14 countries and a range of participant groups. Our findings reveal robust correlations of AI literacy with AI self-efficacy, positive AI attitudes, motivation, and digital competencies, and negative correlations with AI anxiety and negative AI attitudes. Personal factors such as age appear largely uncorrelated with AI literacy. The review reveals measurement challenges regarding AI literacy: discrepancies between self-assessment scales and performance-based tests suggest that metacognitive biases like the Dunning Kruger effect may inflate certain co"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,10,Understanding management educators’ perspectives on AI adoption: A qualitative study,Article,2025.0,"Understanding management educators’ perspectives on AI adoption: A qualitative study. The adoption of generative AI is reshaping higher education, particularly in the areas of teaching and learning. This study examines the perspectives of management educators' on the use of AI tools (e.g., ChatGPT), in Finnish universities of applied sciences. Based on qualitative interviews with 29 educators working in Finnish universities of applied sciences, the findings highlight ethical concerns, data privacy risks, AI benefits, and challenges in balancing automation with human-centered teaching. While educators acknowledge AI's potential to enhance learning, concerns persist regarding its academic integrity, institutional readiness, and literacy. Female and experienced educators express greater ethical apprehensions, while male and early-career educators tend to emphasize AI's efficiency. This study underscores the need for targeted AI training, institutional policies, and ethical frameworks to g"
0,0_ai_literacy_ai literacy_students,ai; literacy; ai literacy; students; education; learning; study; intelligence; artificial; artificial intelligence,11,Integrating AI literacy into the TAM-TPB model to explain students’ intention to use educational AI through MASEM approach,Article,2025.0,"Integrating AI literacy into the TAM-TPB model to explain students’ intention to use educational AI through MASEM approach. The Technology Acceptance Model (TAM), the Theory of Planned Behaviour (TPB), and AI Literacy (AIL) are widely used to study students' behavioural intention (INT) to adopt educational AI (EAI). However, existing evidence on their interrelationships remains inconsistent and often contradictory. To address this, we applied meta-analytic structural equation modelling to integrate TAM, TPB, and AIL into a unified framework, synthesizing data from 166 studies across 21 paths. The AIL-integrated model achieved the best fit and strongest explanatory power, with AIL emerging as the most influential predictor of INT (_ = 0.408), followed by perceived usefulness (PU, _ = 0.330). Mediation analysis confirmed that AIL influenced INT through PU, PEU, and attitude. Notably, PEU had a weak effect on attitude (_ = 0.086), indicating its limited role in shaping students' perceptio"
