side,term,year,title
Pre-2023,machine,2022,High school students exploring machine learning and its societal implications: Opportunities and challenges
Pre-2023,machine,2022,Familiarizing Children with Artificial Intelligence
Pre-2023,machine,2022,An empirical analysis of high school students' practices of modelling with unstructured data
Pre-2023,children,2022,Familiarizing Children with Artificial Intelligence
Pre-2023,children,2022,Family as a Third Space for AI Literacies: How do children and parents learn about AI together?
Pre-2023,children,2022,Family Learning Talk in AI Literacy Learning Activities
Pre-2023,curriculum,2022,Effect of a flipped classroom course to foster medical students’ AI literacy with a focus on medical imaging: a single group pre-and post-test study
Pre-2023,curriculum,2022,Developing AI Literacy for Primary and Middle School Teachers in China: Based on a Structural Equation Modeling Analysis
Pre-2023,curriculum,2022,The Landscape of Teaching Resources for AI Education
Pre-2023,learn,2022,Familiarizing Children with Artificial Intelligence
Pre-2023,learn,2022,Family as a Third Space for AI Literacies: How do children and parents learn about AI together?
Pre-2023,learn,2022,Family Learning Talk in AI Literacy Learning Activities
Pre-2023,smart,2022,Developing AI Literacy for Primary and Middle School Teachers in China: Based on a Structural Equation Modeling Analysis
Pre-2023,smart,2022,Early Design of a Conversational AI Development Platform for Middle Schoolers
Pre-2023,smart,2021,Development of an Instrument to Measure Conceptualizations and Competencies About Conversational Agents on the Example of Smart Speakers
2024-2025,generative,2025,Overcoming adoption challenges: bridging the gap between artificial intelligence algorithm development and implementation in healthcare
2024-2025,generative,2025,Assessing students’ DRIVE: A framework to evaluate learning through interactions with generative AI
2024-2025,generative,2025,What makes university students accept generative artificial intelligence? A moderated mediation model
2024-2025,genai,2025,Assessing students’ DRIVE: A framework to evaluate learning through interactions with generative AI
2024-2025,genai,2025,Intelligent_TPACK in practice: design and evidence from a three_week teacher preparation module
2024-2025,genai,2025,A systematic literature review of generative artificial intelligence (GenAI) literacy in schools
2024-2025,chatgpt,2025,What makes university students accept generative artificial intelligence? A moderated mediation model
2024-2025,chatgpt,2025,Enhancing writing skills through AI-powered tools: perceived benefits and challenges among Vietnamese EFL students
2024-2025,chatgpt,2025,Understanding management educators’ perspectives on AI adoption: A qualitative study
2024-2025,academic,2025,Enhancing writing skills through AI-powered tools: perceived benefits and challenges among Vietnamese EFL students
2024-2025,academic,2025,Understanding management educators’ perspectives on AI adoption: A qualitative study
2024-2025,academic,2025,Integrating AI literacy into the TAM-TPB model to explain students’ intention to use educational AI through MASEM approach
2024-2025,integration,2025,Overcoming adoption challenges: bridging the gap between artificial intelligence algorithm development and implementation in healthcare
2024-2025,integration,2025,Intelligent_TPACK in practice: design and evidence from a three_week teacher preparation module
2024-2025,integration,2025,Conceptualizing AI literacies for children and youth: A systematic review on the design of AI literacy educational programs
