topic,manual_topic_label,short_topic_label
0,"AI literacy competencies, educator readiness, and ethical understanding",Educator readiness / ethics
1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",Self-efficacy / adoption
2,"Higher education integration, ethics, and professional practice",Higher-ed integration / ethics
3,Generative AI literacy and instructional tool integration,GenAI instructional integration
4,"School curriculum, machine learning, and STEM-oriented AI education",School curriculum / STEM
5,"ChatGPT, writing, language learning, and prompting",ChatGPT / writing / prompting
6,"Human decision-making, trust, and public-facing AI systems",Human decision-making / trust
7,"Children, games, creative activities, and experiential AI learning",Children / creative learning
8,Healthcare and medical AI literacy,Healthcare / medical AI literacy
9,"Libraries, librarians, and information services",Libraries / information services
