topic,manual_topic_label,Pre-2023 %,2024-2025 %,"Change, percentage points"
3,Generative AI literacy and instructional tool integration,0.0,12.3,12.3
5,"ChatGPT, writing, language learning, and prompting",0.9,11.1,10.1
2,"Higher education integration, ethics, and professional practice",2.8,13.0,10.1
1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",4.7,13.3,8.6
9,"Libraries, librarians, and information services",0.0,4.6,4.6
8,Healthcare and medical AI literacy,8.5,8.3,-0.2
6,"Human decision-making, trust, and public-facing AI systems",10.4,9.1,-1.3
7,"Children, games, creative activities, and experiential AI learning",17.9,7.8,-10.2
0,"AI literacy competencies, educator readiness, and ethical understanding",23.6,11.3,-12.3
4,"School curriculum, machine learning, and STEM-oriented AI education",31.1,9.3,-21.9
