topic,topic_name,topic_words,original_index,Title,Document Type,Year,topic_text_preview
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,39,Exploring emergent AI-TPACK competencies in a two-week AI literacy module for preservice teachers,Article,2025.0,"Exploring emergent AI-TPACK competencies in a two-week AI literacy module for preservice teachers. This exploratory case study examined a two-week, ethics-integrated AI literacy module for preservice teachers (n = 29) in a required technology-integration course. Five standards-aligned activities were mapped to AI-TPACK (AI-TK, AI-TPK, AI-TCK, AI-CK, ethics) and AI-literacy dimensions (know, use, evaluate, ethical awareness, create). Analysis of reflections, tool-audit rubrics, lesson plans, and surveys revealed five patterns: (1) rapid gains in foundational AI knowledge and confidence, (2) movement from generic caution to teacher-directed ethical strategies, (3) a shift from generic caution to teacher-directed ethical strategies, (4) emerging subject-specific applications, and (5) nascent yet incomplete AI-TPACK integration: accuracy checks were routine, but bias detection remained weak. Findings indicate that even brief, carefully scaffolded professional development can initiate multi"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,57,Integrating AI literacy into teacher education: a critical perspective paper,Article,2025.0,"Integrating AI literacy into teacher education: a critical perspective paper. In today’s educational landscape, equipping educators with AI literacy is crucial for creating equitable and effective learning environments. This perspective paper explores the challenges teachers face in developing AI literacy and advocates for training that goes beyond basic technical skills to include a deep understanding of AI mechanisms, applications, and ethical implications. Without this foundation, educators risk unintentionally deepening the digital divide, disadvantaging marginalized students. Using a literature-informed, narrative methodology, this paper integrates recent research and case studies, such as the U.S. E-rate program and India’s “AI for All” initiative, as models for scalable solutions to promote AI equity. The paper introduces the EQUIP Framework (Ethical Governance, Qualified Professional Learning, Unified Collaborative Partnerships, Implementation Readiness, and Progressive Adaptat"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,60,K-12 teachers’ ethical competencies for AI literacy: Insights from a systematic literature review,Article,2025.0,"K-12 teachers’ ethical competencies for AI literacy: Insights from a systematic literature review. Artificial Intelligence (AI) technology is now an integral part of our daily life and society. AI offers numerous affordances with potential positive and negative impact on society. K-12 educators are responsible to prepare the future generations to harness the benefits of AI ethically, responsibly, safely, and critically. Teachers need sound knowledge, skills, and dispositions to implement ethics-driven AI literacy education. To achieve this goal, there is a pressing need to identify and operationalize the competencies that teachers need to foster AI literacy. We conducted a larger systematic literature review (SLR), which reviewed empirical studies focused on AI literacy published in the last ten years (2014–2024) to explore and consolidate all competencies for K-12 teachers. This paper reports on teachers’ ethical competencies identified from this SLR. The review of 76 papers included "
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,70,A systematic and bibliometric review of artificial intelligence in sustainable education: Current trends and future research directions,Review,2025.0,"A systematic and bibliometric review of artificial intelligence in sustainable education: Current trends and future research directions. This study aims to comprehensively analyze the use of Artificial Intelligence in Education (AIED), encompassing its applications, challenges, gaps in research, and future research directions. The research involves examining a wide range of studies published over the last five years and categorizing the literature into nine distinct categories, which are connections to existing educational theories, AI in Early and K-12 education, AI and ethics in education, AI techniques and applications, Artificial Intelligence (AI) and sustainable education, AI in higher education, AI in language and English as a Foreign Language (EFL) education, AI and Large Language Models (LLM), and AI in specific educational fields. The findings reveal significant trends, including the increasing integration of AI in personalized learning, ethical concerns, and the necessity for"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,97,Navigating the landscape of AI literacy education: insights from a decade of research (2014–2024),Review,2025.0,"Navigating the landscape of AI literacy education: insights from a decade of research (2014–2024). As artificial intelligence (AI) becomes increasingly integrated into various fields, the need to enhance learners’ AI literacy is more urgent than ever. Despite its growing importance, a comprehensive review of AI literacy education research has been lacking. This study addresses that gap by mapping the current landscape, tracing its evolution, and identifying key themes through a bibliometric analysis of research from 2014 to 2024, utilizing CiteSpace for data visualization and analysis. This study systematically selected 335 relevant articles from databases, including Web of Science Core Collection, Scopus, and Science Direct, following PRISMA guidelines. Our methodology involved keyword co-occurrence mapping to trace the development paths and thematic evolution within the field. By examining publication trends and thematic clusters, we provide insights into the progression and focal po"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,100,A Comprehensive Study: AI Literacy as a Component of Media Literacy,Article,2025.0,"A Comprehensive Study: AI Literacy as a Component of Media Literacy. The widespread use of AI-based technologies has sparked educational, social, and political interest in AI training. Education systems must prepare individuals for a world with AI. AI literacy is a cognitive and pedagogical difficulty. AI's language and intricacies need redefining literacy. Because these systems are easy to use, more individuals are utilizing them than those with limited conceptualizations (such as an inability to grasp the future relevance of these systems) or competencies (like an inability to comprehend how these systems function). The study investigates the increasing significance of artificial intelligence (AI) literacy within the context of media literacy. As AI technologies permeate various aspects of modern media, the capacity to comprehend and engage critically with these systems has become essential. The paper begins by analyzing the intricate intersection of AI and media, focusing on content"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,112,Opening the ‘Can of Worms’: A Comparative Case Study of Two ELA Teachers' Formation of AI Literacy Instruction,Article,2025.0,"Opening the ‘Can of Worms’: A Comparative Case Study of Two ELA Teachers' Formation of AI Literacy Instruction. Educators hold diverse beliefs and attitudes about generative artificial intelligence (AI). Irrespective of their stance, many acknowledge AI's growing influence and the pressing need for greater AI literacy. In this case study, we draw on Davis's (1989) technology acceptance model (TAM) to examine how two English teachers, Fiona and Margot, arrived at different enactments of AI literacy. Using qualitative methods, we found that Fiona was primarily concerned with cheating, held negative attitudes toward AI, and taught a standalone lesson on preventing cheating. Margot identified a range of AI risks and possibilities, held conflicted attitudes, and developed a unit on the societal impacts of AI. Our findings suggest that educators and professional learning designers should take concerns about cheating seriously, but also adopt a broader, dialectical orientation that prepares s"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,121,From Understanding to Creating: Bridging AI Literacy and AI Fluency in K-12 Education,Article,2025.0,"From Understanding to Creating: Bridging AI Literacy and AI Fluency in K-12 Education. This paper explores the distinctions and connections between AI literacy and AI fluency, drawing parallels with the historical development of other literacies such as computer literacy and digital fluency. The paper argues that while AI literacy focuses on understanding and evaluating AI technologies, AI fluency represents a higher-order competency encompassing innovation, ethical management, and creation with AI. Examining existing definitions reveals ""creation"" as a recurring theme that differentiates fluency from literacy, where fluency implies the ability to generate novel solutions and artifacts using technology. The paper proposes a conceptual framework for AI literacy and fluency in K-12 education, emphasizing the need to develop both concurrently rather than sequentially. By fostering AI literacy through comprehensive professional development, educators can equip themselves and their students"
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,143,Expanding AI Literacy at an HBCU: The Launch and Impact of the NCCU Institute for Artificial Intelligence and Emerging Research (IAIER),Article,2025.0,"Expanding AI Literacy at an HBCU: The Launch and Impact of the NCCU Institute for Artificial Intelligence and Emerging Research (IAIER). This paper describes the founding, mission, and early outcomes of the North Carolina Central University (NCCU) center for Artificial Intelligence and Emerging Research (IAIER), the first Artificial Intelligence (AI) research center established at a Historically Black College or University (HBCU). Established in January 2025 with $ million in support from Google.org, IAIER represents a bold commitment to equitable AI literacy, ethical research, and community engagement. We describe programming development, such as Soaring Conversations and seed grants, share survey results from pilot learning sessions, and reflect on participant growth in understanding their interest in AI tools. This initiative models how underrepresented institutions can lead national conversations about AI through inclusive, human-centered practices."
0,0_ai_literacy_ai literacy_education,ai; literacy; ai literacy; education; ethical; learning; students; teachers; intelligence; artificial,144,Toward Agency-Centered AI Literacy: A Scoping Review,Article,2025.0,"Toward Agency-Centered AI Literacy: A Scoping Review. Digital literacy is well-studied across disciplines, with established attention to core competencies and social inequalities. However, artificial intelligence (AI) literacy remains underexplored. To address this gap, we conducted a scoping review on AI literacy to: (1) consolidate current definitions and pinpoint conceptual gaps, (2) evaluate methodological approaches and their relevance in practice, and (3) examine how social inequalities are considered in AI literacy studies. Definitions of AI literacy are inconsistent across and within disciplines, and most studies do not consider social factors. Most definitions focus on knowledge and skill acquisition, framing AI literacy as a suite of acquired competencies. We argue that current understandings of AI literacy need to expand to include informed decision-making, critical engagement, and resistance to technological coercion by taking an agency-driven approach. These insights can g"
